epoch,acc,loss,lr,val_acc,val_loss
0,0.0065680310871623114,0.023269034337535174,1e-04,0.006572541527308618,0.022500081401272517
1,0.006774037587274544,0.022635913757342307,1e-04,0.006088650860690774,0.02251234878781372
2,0.007117191952282039,0.0225921938195712,1e-04,0.0068143101798469755,0.022497534568415422
3,0.006052640808863274,0.022613644899043907,1e-04,0.008382942663762973,0.02245840946215353
4,0.005880725158679258,0.022609163576898,1e-04,0.0071767426292227215,0.022489533513540164
5,0.006533688384180975,0.022588599949733102,1e-04,0.009225540345615627,0.02244077978795202
6,0.006121390417911345,0.022591746303818303,1e-04,0.0058465287379748055,0.022516722616940356
7,0.006911327824000663,0.022081730058652306,1e-04,0.005967604520640729,0.017001581035656264
8,0.0070485800582428745,0.010924059064516548,1e-04,0.006330655098128324,0.0034734323383090117
9,0.006327582165845668,0.004275831108104177,1e-04,0.008503401518479873,0.0012727287434496244
10,0.006155761636573054,0.002948639007967529,1e-04,0.007780209215846544,0.0007315403689541766
11,0.007425828190597027,0.002416113109312059,1e-04,0.006451613049697963,0.0005956009187924376
12,0.007048580060945904,0.0022352819380155697,1e-04,0.008141937215768027,0.0005081809630275227
13,0.006636709416645067,0.0021272280748899025,1e-04,0.006935150350426682,0.0005485528963193056
14,0.006945644414728903,0.0020472814216475417,1e-04,0.007538910661660975,0.00034882380661943146
15,0.006911327770061323,0.0019952885425833173,1e-04,0.00741821736374592,0.00031828239486573107
16,0.00667104502444975,0.001882224811210264,1e-04,0.005604288608405819,0.0002956959728443052
17,0.006190130513300683,0.001922284228240038,1e-04,0.0072974946365264234,0.00037371465188976806
18,0.0062932227986811935,0.0019284702636070095,1e-04,0.0068143101735006545,0.000413959732823938
19,0.007220092000567234,0.0018638551688936007,1e-04,0.006693440546254774,0.00037957319749471597
20,0.0076314791358562005,0.0018493125627332815,1e-04,0.008262454566261748,0.00022573396905844765
21,0.007460109279004342,0.0018678385438113867,1e-04,0.0077802091972789655,0.00039933352662965675
22,0.0072200920308102025,0.0019752933886673283,1e-04,0.008984944304146484,0.00030310697998437694
23,0.006327582136863602,0.0019474754605933267,1e-04,0.0070559612287258286,0.00024988789864791483
24,0.007185794369847247,0.0019349906925292153,1e-04,0.007297494660087004,0.0004153096084258689
25,0.0063962937113632694,0.0019394511367346403,1e-04,0.004876859425241207,0.0002641290236341311
26,0.006396293733645717,0.0018788876760818484,1e-04,0.0066934405507884116,0.00027208935507666327
27,0.006464995807141401,0.0018090292447205962,1e-04,0.006693440607005522,0.00035860240935438705
28,0.007288680229625692,0.0018462705759189082,1e-04,0.0076595746379311686,0.00036977493080064957
29,0.006533688354689792,0.0018376801192774303,1e-04,0.005846528718463541,0.00040170815719957163
30,0.007597209849310017,0.0018109480299350405,1e-04,0.00814193722301127,0.000272880017805908
